"network","month","prop_fauci","low95ci_prop_fauci","up95ci_prop_fauci"
"fox","2","0","0","0.0416873103453112"
"fox","3","0.0146496815286624","0.00952633017567885","0.02226669960253"
"fox","4","0.00186393289841566","0.000597261836332168","0.00511512191947218"
"fox","5","0.00771604938271605","0.00284413180329886","0.018999078577365"
"fox","6","0.0023094688221709","0.000120566396709039","0.0148607517384378"
"fox","7","0.0010515247108307","5.4892186452261e-05","0.00680067051400309"
"fox","8","0","0","0.00838919636596098"
"fox","9","0.000940733772342427","4.91083955420712e-05","0.00608686315442331"
"fox","10","0","0","0.00856932370382514"
"fox","11","0.00386100386100386","0.000669040577740806","0.0154458854696111"
"fox","12","0","0","0.00549299996023824"
"msnbc","2","0.0253164556962025","0.00439712147957399","0.0968687191475204"
"msnbc","3","0.0286885245901639","0.019501094665239","0.0417491724372961"
"msnbc","4","0.00846262341325811","0.0045913319918397","0.0151789246176759"
"msnbc","5","0.00662251655629139","0.00269489843638424","0.0151206037913422"
"msnbc","6","0.0157728706624606","0.00803490962419287","0.0297962680602617"
"msnbc","7","0.0101880877742947","0.00567470614862892","0.0178435717881673"
"msnbc","8","0.00175131348511384","9.142559719728e-05","0.0112945538499968"
"msnbc","9","0.00656660412757974","0.00288041558640256","0.0141178049028681"
"msnbc","10","0.00802139037433155","0.00391962972224898","0.015752947077638"
"msnbc","11","0.00115207373271889","6.01413497001199e-05","0.00744793755006035"
"msnbc","12","0.00207684319833853","0.000359808978784003","0.00833977952646927"
"cnn","2","0","0","0.200453345013487"
"cnn","3","0.0340425531914894","0.0224080161791783","0.0509896841793894"
"cnn","4","0.0141509433962264","0.00866466251858757","0.0227355171633463"
"cnn","5","0.0162094763092269","0.00903672856986514","0.028312080034037"
"cnn","6","0.00385356454720617","0.00066775094394391","0.0154163667378229"
"cnn","7","0.0097165991902834","0.00527266692066784","0.0174175989589829"
"cnn","8","0.00137174211248285","7.16092963545754e-05","0.00886018618171385"
"cnn","9","0.00311526479750779","0.000998413255188006","0.00853679721867627"
"cnn","10","0.00298507462686567","0.000956669980678206","0.00818126134685425"
"cnn","11","0.00208116545265349","0.000360557969563725","0.00835705950186146"
"cnn","12","0.0333919156414763","0.0240511469447875","0.0460027336749513"
